Fuar Adı,Başlangıç,Bitiş,Şehir,Sektör,Düzenleyici,Web,Katılımcı Listesi
Emıtt 2026 - 29. Doğu Akdeniz Uluslararası Turizm Ve Seyahat Fuarı,2026-02-05,2026-02-07,İstanbul,Sağlık & Medikal,Ica Fuarcılık Anonim Şirketi,https://www.emittistanbul.com,
Şanlıurfa Gıda Yöresel Ürünler Hediyelik Eşya Ve El Sanatları Fuarı,2026-02-06,2026-02-15,Şanlıurfa,Gıda & Tarım,Medyatrend Fuarcılık Sanayi Ve Ticaret Limited Şirketi,https://www.medyatrend.com.tr,
Caravan Life Expo Iı. Eskişehir Kamp Karavan Ve Doğa Sporları Fuarı,2026-02-11,2026-02-15,Eskişehir,Genel / Diğer,Anadolu Ekspo Fuar Ticaret Limited Şirketi,https://www.anadoluexpo.com,
"Gaziantep Penye, Tekstil, Hazır Giyim, Aksesuarları, Kumaş Ve Yan Sanayileri Fuarı",2026-02-11,2026-02-14,Gaziantep,Mobilya & İç Mekan,Gsomem Gaziantep Sanayı Odası Mesleki Eğitim Danışmanlık Hizmetleri Anonim Şirketi,https://www.gsomem.com.tr,
"Marbleist 2026 - İstanbul Mermer, Doğaltaş, Blok Mermer Ve Üretim Teknolojileri Fuarı",2026-02-11,2026-02-14,İstanbul,Bilişim & Teknoloji,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyap.com.tr,
Aydın Uluslararası Tarım Gıda Ve Hayvancılık Fuarı,2026-02-12,2026-02-15,Aydın,Endüstri & Otomasyon,Mnp Fuarcılık Tanıtım Ve Organizasyon Limited Şirketi,https://www.mnpfuar.com,
Kayseri Tarım Fuarı  Tarım Hayvancılık Gıda Fuarı Ve Turk Dunyası Akraba Toplulukları Tarım Fuarı,2026-02-12,2026-02-15,Kayseri,Gıda & Tarım,Atlas Uluslararası Fuarcılık Reklam Ve Organizasyon Limited Şirketi,https://www.kayseritarimfuari.com.tr,
Studyexpo Yurtdışı Eğitim Fuarı,2026-02-14,2026-02-14,İstanbul,Eğitim,Study Expo Fuarcılık A.Ş.,https://www.studyexpo.com,
Trend Ev Fuarı,2026-02-15,2026-02-18,Antalya,Mobilya & İç Mekan,Partner Fuarcılık Limited Şirketi,https://www.partnerfuar.com,
Bosphorus Boat Show,2026-02-21,2026-02-28,İstanbul,Genel / Diğer,Yated Fuarcılık Anonim Şirketi,https://www.yated.org.tr,
Qs Discover Masters Fuarı,2026-02-28,2026-02-28,İstanbul,Eğitim,Study Expo Fuarcılık A.Ş.,https://www.qs.topuniversities.com/tr/events/masters/istanbul,
İngiltere Eğitim Günleri Fuarı,2026-02-28,2026-02-28,Ankara,Eğitim,Edukas Yurtdışı Eğitim Danışmanlık Ticaret Limited Şirketi,https://www.educationukdays.com,
"Tüyap  Banyo, Seramik,  Mutfak Fuarı",2026-03-02,2026-03-06,İstanbul,Mobilya & İç Mekan,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyap.com.tr,
İngiltere Eğitim Günleri Fuarı,2026-03-03,2026-03-03,İzmir,Eğitim,Edukas Yurtdışı Eğitim Danışmanlık Ticaret Limited Şirketi,https://www.educationukdays.com,
"Texhibition İstanbul Kumaş, Denim, Tekstil Aksesuarları Ve İplik Fuarı",2026-03-04,2026-03-06,İstanbul,Tekstil & Moda,İtkib Fuarcılık Anonim Şirketi,https://wwwtexhibitionist.com,
Akare Yurtdışı Eğitim Fuarları,2026-03-07,2026-03-08,İstanbul,Eğitim,Akare Fuarcılık Anonim Şirketi,https://www.akare.com.tr,
"Farmers' Fair - Güney Ege 17. Gıda, Tarım Ve Hayvancılık Fuarı",2026-03-12,2026-03-15,Muğla,Endüstri & Otomasyon,Expoline Fuarcılık Ticaret Limited Şirketi,https://www.expolinefuar.com,
Ieft Yurt Dışı Eğitim Fuar Ve Seminerleri,2026-03-24,2026-03-24,Ankara,Eğitim,İstanbul Eğitim Fuarları Ve Tanıtım Limited Şirketi,https://www.ieft.net,
Artankara 12.Uluslararası Çağdaş  Sanat Fuarı,2026-03-25,2026-03-29,Ankara,Genel / Diğer,Atis Fuarcılık Anonim Şirketi,https://www.artfairankara.com,
Aymod Uluslararası Ayakkabı Moda Fuarı,2026-03-25,2026-03-28,İstanbul,Tekstil & Moda,Tasd Fuarcılık A.Ş.,https://www.aymod.com,
Vef Yurt Dışı Eğitim Fuarı,2026-03-25,2026-03-25,İzmir,Eğitim,Endless Grup Eğitim Bilişim Anonim Şirketi,https://www.endlessg.com,
22. Uluslararası  İstanbul İplik Fuarı 2026,2026-03-26,2026-03-28,İstanbul,Yapı Malzemeleri,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyap.com.tr,
3.Oyfest Oyuncak Ve Çocuk Gereçleri Fuarı,2026-03-26,2026-03-28,Antalya,Otomotiv,Oyfest Fuarcılık Ve Organizasyon Limited Şirketi,https://oyfest.com.tr,
"Bodrum Otel, Kafe, Restaurant Ekipmanları, Ev Dışı Tüketim Ürünleri, Gıda Ve İçecek Fuarı",2026-03-26,2026-03-28,Muğla,Gıda & Tarım,Başak Fuar Hizmetleri Limited Şirketi,https://www.basakfuar.com,
"Güzellik&Bakım 2026 - 38. Güzellik Ve Bakım, Profesyonel Kozmetik Ve Saç, Spa & Wellness Ürün Ve Ekipmanları Fuarı",2026-03-26,2026-03-29,İstanbul,Kozmetik & Güzellik,Tg Ekspo Uluslararası Fuarcılık Anonim Şirketi,https://www.tgexpo.com,
Replast Eurasia -    3. Plastik Ve Elyaf Geri Dönüşüm Teknolojileri Ve Ham Maddeleri Fuarı,2026-03-26,2026-03-28,İstanbul,Enerji & Çevre,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyap.com.tr,
"Optic World İzmir 3. Optik, Gözlük, Oftalmoloji Ve Teknolojileri Fuarı",2026-03-27,2026-03-29,İzmir,Endüstri & Otomasyon,İzfaş İzmir Fuarcılık Hizmetleri Kültür Ve Sanat İşleri Ticaret Anonim Şirketi,https://www.izfas.com.tr,
"İstanbul Kırtasiye - Ofis Fuarı      10. Uluslararası Okul, Kırtasiye, Kağıt, Ofis Malzemeleri Fuarı  - Oyuncak Özel Bölümü",2026-04-01,2026-04-04,İstanbul,Genel / Diğer,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyap.com.tr,
"Ijs - İstanbul Jewelry Show 59. İstanbul Uluslararası Mücevher, Altın, Gümüş, Değerli Taş Ve Teknolojileri Fuarı",2026-04-01,2026-04-04,İstanbul,Mobilya & İç Mekan,Informa Fuarcılık Anonim Şirketi,https://www.istanbuljewelryshow.com,
Host İstanbul 18. Uluslararası Türkiye Ev Ve Mutfak Eşyası Üreticileri Fuarı,2026-04-01,2026-04-04,İstanbul,Mobilya & İç Mekan,Informa Fuarcılık Anonim Şirketi,https://www.hostistanbulfair.com,
"Hardware Eurasia&Fastener Expo Eurasia - Avrasya Uluslararası  Hırdavat, Endüstriyel  Bağlantı Ve Sabitleme Elemanları  Fuarı",2026-04-01,2026-04-04,İstanbul,Endüstri & Otomasyon,Reed Tüyap Fuarcılık Anonim Şirketi,https://www.tuyap.com.tr,
"Gaptarım 16. Tarım,Tarım Teknolojileri Ve Hayvancılık Fuarı",2026-04-01,2026-04-04,Gaziantep,Gıda & Tarım,Akort Tanıtım Organizasyon Ve Fuarcılık Limited Şirketi,https://www.akort.com,
"Heritage İstanbul 2026 - 9. Restorasyon, Arkeoloji, Müzecilik Ve Kütüphanecilik Teknolojileri Fuarı Ve  Konferansı",2026-04-01,2026-04-04,İstanbul,Bilişim & Teknoloji,Tg Ekspo Uluslararası Fuarcılık Anonim Şirketi,https://www.tgexpo.com,
Yacht Life Boat Show,2026-04-04,2026-04-12,Antalya,Otomotiv,Kuzey 2009 Medya İnşaat Turizm Oto Kiralama Ticaret Limited Şirketi,https://www.yachtlifeboatshow.com,
"Konya Tarım 2026 - 22. Tarım, Tarımsal Mekanizasyon Ve Tarla Teknolojileri Fuarı",2026-04-07,2026-04-11,Konya,Gıda & Tarım,Tüyap Konya Fuarcılık Anonim Şirketi,https://www.tuyap.com.tr,
Lesexpo Yük Mühendisliği Hizmetleri Fuarı,2026-04-07,2026-04-09,İstanbul,İş Makineleri & İnşaat,Kfa Fuarcılık Anonim Şirketi,https://www.kfa.com.tr,
"Kauçuk Avrasya     12. Kauçuk Teknolojileri, Kauçuk Ürünler Ve Hammaddeleri Fuarı",2026-04-08,2026-04-11,İstanbul,Bilişim & Teknoloji,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyap.com.tr,
18. Uluslararası Solarex İstanbul Güneş Enerjisi Teknolojileri Ve Enerji Depolama Fuarı,2026-04-08,2026-04-10,İstanbul,Enerji & Çevre,Voli Fuar Hizmetleri Anonim Şirketi,https://www.solarexistanbul.com,
"Anamak  Anadolu Ağaç İşleme Makineleri, Kesici Takımlar, El Aletleri",2026-04-08,2026-04-11,Kayseri,Bilişim & Teknoloji,Nobel Expo Uluslararası Fuarcılık Anonim Şirketi,https://www.nobelanamak.com,
"Maden Türkiye Uluslararası Madencilik, Tünel İnşaa, Makine Ekipmanları Ve İş Makineleri Fuarı",2026-04-08,2026-04-11,İstanbul,Endüstri & Otomasyon,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyap.com.tr,
Camp&Nature  Kamp Karavan  Avcılık Ve Doğa Sporları Fuarı,2026-04-09,2026-04-12,Antalya,Otomotiv,Geoexpo Fuar Ve Medya Limited Şirketi,https://geoexpo.tr,
Bursa 23. Kitap Fuarı,2026-04-11,2026-04-19,Bursa,Eğitim,Tüyap Bursa Fuarcılık Anonim Şirketi,https://www.tuyapbursa.com.tr,
"İnterfresh Eurasia / Interfood Eurasia Meyve,Sebze,Gıda,Gıda Ürünleri ,Gıda Teknolojileri Ambalaj,Tarım Teknolojileri,Depolama Ve   Lojistik Fuarı",2026-04-13,2026-04-15,Antalya,Gıda & Tarım,Antexpo Fuarcılık Hizmetleri Anonim Şirketi,https://www.euroasiainterfresh.com,
(Modef 2025) 54.Uluslararası Mobilya Ve Dekorasyon Fuarı,2026-04-14,2026-04-18,Bursa,Mobilya & İç Mekan,Modef Fuarcılık Ticaret Limited Şirketi,https://www.modef.com.tr,
"Marble ""31. Uluslararası Doğal Taş Ve Teknolojileri Fuarı""",2026-04-14,2026-04-17,İzmir,Bilişim & Teknoloji,İzfaş İzmir Fuarcılık Hizmetleri Kültür Ve Sanat İşleri Ticaret Anonim Şirketi,https://www.izfas.com.tr,
İstanbul Kırtasiye Ofis Fuarı,2026-04-15,2026-04-18,İstanbul,Genel / Diğer,24Saat Fuarcılık Anonim Şirketi,https://www.24saatfuarcilik.com,
Tarım Kimyasalları Ve Gübre Fuarı Antalya,2026-04-15,2026-04-17,Antalya,Gıda & Tarım,"1) B2b Faırs Fuarcılık Ticaret Limited Şirketi
2) Dlg Fuarcılık Ltd. Şti.",https://www.b2b-fairs.com,
Idex İstanbul - Uluslararası Dental Fuar Ve Konferansı,2026-04-15,2026-04-18,İstanbul,Mobilya & İç Mekan,"1) Dişsiad Kongre Ve Konferans Org. Ltd. Şti.
2) Winnow Fuarcılık Ticaret Limited Şirketi",https://www.dissiad.org,
"Ekspomed Eurasıa 33.Uluslararası İstanbul Tıbbi Analiz, Teşhis, Tedavi, Koruma Ve Rehabilitasyon,Laboratuvar,Ürün, Cihaz, Sistem, Teknoloji, Donanım Ve Hastaneler Fuarı - (Reçetesiz Ürünler Otc Sağlıklı Yaşam Ürünleri Bitkisel İlaçlar, Gıda Takviyeleri, Kişisel Bakım, Dermokozmetik, Doğal Ve Organik Ürünler Özel  Bölümü )",2026-04-15,2026-04-18,İstanbul,Gıda & Tarım,Reed Tüyap Fuarcılık Anonim Şirketi,https://www.tuyap.com.tr,
3.Şanlıurfa İnşaat Ve Yapı Dekorasyon Fuarı,2026-04-16,2026-04-19,Şanlıurfa,İş Makineleri & İnşaat,Us Fuarcılık Ve Organizasyon Ltd. Şti.,https://www.usfuar.com,
Franchise İstanbul Expo - Franchise Ve Bayilik Fuarı,2026-04-16,2026-04-19,İstanbul,Gıda & Tarım,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyap.com.tr,
Modiex'26  Ankara 2. Mobilya Dekorasyon İnovasyon Ve Ev Gereçleri Fuarı,2026-04-16,2026-04-19,Ankara,Mobilya & İç Mekan,Zümrüt Fuarcılık Tan. Org. San. Ve Tic. Ltd. Şti.,https://www.zumrutfuarcilik.com.tr,
1.Bahçe Ve Pet Ürünleri Fuarı,2026-04-17,2026-04-19,İzmir,Kozmetik & Güzellik,Ulusal Fuarcılık Organizasyon Ticaret Limited Şirketi,https://www.ulusalfair.com,
4 Kaş Tarım Fuarı,2026-04-21,2026-04-23,Antalya,Gıda & Tarım,Marmaris Fuarcılık Organizasyon Halkla İlişkiler Basın Yayın Limited Şirketi,https://www.marfo.com.tr,
Karavan Show Bursa,2026-04-21,2026-04-26,Bursa,Mobilya & İç Mekan,Birleşik Fuar Yapım Anonim Şirketi,https://www.bifasfuar.com,
Aysaf 2026 Ayakkabı Yan Sanayi Fuarı,2026-04-22,2026-04-25,İstanbul,İş Makineleri & İnşaat,Cng Fuarcılık Ve Tanıtım Hizmetleri Anonim Şirketi,https://aysafexpo.com,
"Ehatech Expo,Yenilenebilir Enerji,Elektrikli Ve Hibrit Araçlar,Şarj İstasyonları Ve Batarya Teknolojileri Fuarı",2026-04-22,2026-04-26,Antalya,Otomotiv,Geoexpo Fuar Ve Medya Limited Şirketi,https://ehatech.com.tr,
Eurobıke Istanbul,2026-04-22,2026-04-25,İstanbul,Genel / Diğer,Messe Frankfurt İstanbul Uluslararası Fuarcılık Limited Şirketi,https://www.messefrankfurt.com.tr,
Motobıke Istanbul,2026-04-22,2026-04-25,İstanbul,Genel / Diğer,Messe Frankfurt İstanbul Uluslararası Fuarcılık Limited Şirketi,https://www.messefrankfurt.com.tr,
Elektrik Aydınlatma Enerji Akıllı Teknolojiler Fuarı (Eles Expo),2026-04-23,2026-04-25,İstanbul,Enerji & Çevre,Itc Fuarcılık Anonim Şirketi,https://elesexpo.com,
Rısıng Cıty & Yapı Ve Yaşam Fuarı,2026-04-23,2026-04-26,Bursa,İş Makineleri & İnşaat,Kfa Fuarcılık Anonim Şirketi,https://www.kfa.com.tr,
Rısıng Cıty Bursa Gayrimenkul Fuarı,2026-04-23,2026-04-26,Bursa,Genel / Diğer,Kfa Fuarcılık Anonim Şirketi,https://www.kfa.com.tr,
"Fastener Expo Eurasia 
Avrasya Endüstriyel Bağlantı Ve Sabitleme Elemanları Fuarı",2026-04-27,2026-04-30,İstanbul,Endüstri & Otomasyon,Reed Tüyap Fuarcılık Anonim Şirketi,https://www.tuyap.com.tr,
48. Yapı Fuarı - Turkeybuild İstanbul 2026 (Yapı Fuarı'nda Hırdavat Özel Bölümü İle),2026-04-27,2026-04-30,İstanbul,İş Makineleri & İnşaat,Ica Buıld Fuarcılık Anonim Şirketi,https://www.icaevents.com.tr,
Mast 4. İzmir Boatshow Fuarı,2026-04-29,2026-05-03,İzmir,Otomotiv,"1) İzfaş İzmir Fuarcılık Hizmetleri Kültür Ve Sanat İşleri Ticaret Anonim Şirketi
2) Ed Fuarcılık Ve Organizasyon Ltd. Şti.",https://www.izfas.com.tr,
Antalya Expohunt  Av Silah Doğa Sporları Fuarı,2026-04-30,2026-05-03,Antalya,Otomotiv,Geoexpo Fuar Ve Medya Limited Şirketi,https://expohunt.com.tr,
Naturfest Kamp Karavan Ve Doğa Sporları Fuarı,2026-04-30,2026-05-03,İstanbul,Otomotiv,Prizma Etkinlik Risk Yönetim Servis Hizmetleri Ticaret Limited Şirketi,https://www.naturfest.net,
"Saha Expo Uluslararası Savunma, Havacılık Ve Uzay Sanayi Fuarı",2026-05-05,2026-05-09,İstanbul,Savunma & Havacılık,Saha Expo Fuarcılık Hizmetleri A.Ş.,https://www.sahaexpo.com,
"Fresh Expo Antalya - Meyve,Sebze Mamulleri ,Ambalaj ,Lojistik, Depolama Ve Taze Ürün Teknolojileri",2026-05-06,2026-05-08,Antalya,Bilişim & Teknoloji,Anfaş Antalya Fuarcılık İşletme Ve Yatırım Anonim Şirketi,https://www.anfas.com.tr,
Orta Doğu Gıda Ve Gıda Teknolojileri Fuarı,2026-05-06,2026-05-08,Gaziantep,Gıda & Tarım,"1) Nobel Expo Uluslararası Fuarcılık Anonim Şirketi
2) Gsomem Gaziantep Sanayı Odası Mesleki Eğitim Danışmanlık Hizmetleri Anonim Şirketi",https://www.nobelexpo.com,
Super Yacht Show Türkiye,2026-05-06,2026-05-10,Muğla,Genel / Diğer,Memetti Denizcilik Turizm Seyahat Sanayi Ve Ticaret Limited Şirketi,https://superyachtshowturkiye.com,
Tos+H Expo 6.Türk İş Güvenliği Ve Sağlığı Fuarı,2026-05-06,2026-05-08,İstanbul,Sağlık & Medikal,Tezulaş Fuar Danışmanlık Hizmetleri Limited Şirketi,https://www.tezulas-fuar.com,
"7.Beauty İstanbul, Kozmetik, Güzellik, Kuaför, Temizlik, Private Label, Ambalaj, Hammadde Fuarı",2026-05-07,2026-05-09,İstanbul,Kozmetik & Güzellik,İpekyolu Uluslararası Fuarcılık Limited Şirketi,https://www.beauty-istanbul.com,
Bursa Energy,2026-05-07,2026-05-09,Bursa,Enerji & Çevre,Birleşik Fuar Yapım Anonim Şirketi,https://www.bifasfuar.com,
"Techmotıon - Robotlu Üretim Teknolojileri , Hareket Kontrol Sistemleri Fuarı",2026-05-07,2026-05-09,Bursa,Endüstri & Otomasyon,Birleşik Fuar Yapım Anonim Şirketi,https://www.bifasfuar.com,
"Teke Yöresi 11. Canlı Hayvan, Hayvancılık, Tarım Makineleri, Teknolojileri Ve Yem Fuarı",2026-05-07,2026-05-10,Burdur,Gıda & Tarım,Gl Platform Fuar Hizmetleri Limited Şirketi,https://www.glplatformfuar.com,
Tyba Yacht Charter Show,2026-05-07,2026-05-11,Muğla,Genel / Diğer,Ed Fuarcılık Ve Organizasyon Ltd. Şti.,https://www.tybachartershow.com,
Coffex İstanbul,2026-05-08,2026-05-10,İstanbul,Endüstri & Otomasyon,Enc Uluslararası Fuar Organizayon Hizmetleri Sanayi Ve Ticaret Limited Şirketi,https://www.coffexistanbul.com,
"World Sports İstanbul - Fitness Ekipmanları, Spor Teknolojileri, Gıda, Giyim Ve Wellness Fuarı",2026-05-08,2026-05-10,İstanbul,Gıda & Tarım,Tam Fuarcılık Ve Organizasyon Anonim Şirketi,https://www.tamfuar.com,
Eskişehir 5. Kitap Fuarı,2026-05-09,2026-05-17,Eskişehir,Eğitim,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyap.com.tr,
"2. Sandıklı Tarım Hayvancılık Makinaları, Teknolojileri Ve Seracılık Fuarı",2026-05-13,2026-05-16,Afyonkarahisar,Gıda & Tarım,Başak Fuar Hizmetleri Limited Şirketi,https://www.basakfuar.com,
3. Iaaf Izmır Sanat Ve Antıka Fuarı,2026-05-13,2026-05-17,İzmir,Genel / Diğer,Demos Endüstri Fuarcılık Anonim Şirketi,https://www.iaafistanbul.com,
Artcontact İstanbul 6.Uluslararası Çağdaş Sanat Fuarı,2026-05-13,2026-05-17,İstanbul,Genel / Diğer,Atis Fuarcılık Anonim Şirketi,https://www.atisfuar.com.tr,
"Karadeniz Tarım Fuarı - 2.Ordu Tarım, Hayvancılık Ve Fındık Fuarı",2026-05-13,2026-05-16,Ordu,Gıda & Tarım,Lina Fuarcılık Hizmetleri Sanayi Ve Ticaret Limited Şirketi,https://www.linafair.com,
Electrolighting Fuarı Antalya,2026-05-15,2026-05-18,Antalya,İş Makineleri & İnşaat,Partner Fuarcılık Limited Şirketi,https://www.partnerfuar.com,
Hometex 2026 Uluslararası Ev Tekstili Fuarı,2026-05-19,2026-05-22,İstanbul,Mobilya & İç Mekan,Kfa Fuarcılık Anonim Şirketi,https://www.kfa.com.tr,
Tdk Deri Ve Kürk Moda Şov,2026-05-20,2026-05-23,Antalya,Tekstil & Moda,Tdk Fuarcılık Organizasyon Ltd. Şti.,https://www.tdkfuarcilik.com,
Automechanıka Istanbul,2026-05-21,2026-05-24,İstanbul,Otomotiv,"1) Messe Frankfurt İstanbul Uluslararası Fuarcılık Limited Şirketi
2) Hannover Faırs Turkey Fuarcılık A.Ş.",https://www.automechanika.com.tr,
"Motobiex'26 Ankara 2. Motosiklet, Bisiklet Endüstrisi Ve Aksesuarları Fuarı",2026-05-21,2026-05-24,Ankara,Endüstri & Otomasyon,Zümrüt Fuarcılık Tan. Org. San. Ve Tic. Ltd. Şti.,https://www.zumrutfuarcilik.com.tr,
13.Uluslararası İstanbul  Av Silah Ve Doğa Sporları Fuarı,2026-06-03,2026-06-06,İstanbul,Otomotiv,"1) Efem Uluslar Arası Fuar Ve Organizasyon Hizmetleri Anonim Şirketi
2) Riva Fuar Ve Organizasyon Hizmetleri Anonim Şirketi",https://www.istanbulprohunt.com,
24. Uluslararası İstanbul Perakende Fuarı,2026-06-03,2026-06-04,İstanbul,Endüstri & Otomasyon,Soysal Fuarcılık Tan. Org. Ltd.Şti.,https://www.perakendegunleri.com,
Bilecik Tarım Ve Hayvancılık Fuarı,2026-06-03,2026-06-06,Bilecik,Gıda & Tarım,Lina Fuarcılık Hizmetleri Sanayi Ve Ticaret Limited Şirketi,https://www.linafair.com,
"Komatek 2026 18. Uluslararası  İş Ve İnşaat, Makine, Teknoloji Ve Aletleri İhtisas Fuarı",2026-06-03,2026-06-06,İstanbul,İş Makineleri & İnşaat,Sada Uzmanlık Fuarları Tic. A.Ş.,https://www.komatekfuar.com,https://komatekfuar.com/en/list-of-komatek-2026-participants/
Hıghtex 2026 Uluslararası Teknik Tekstiller Ve Nonwoven  Fuarı,2026-06-09,2026-06-13,İstanbul,Tekstil & Moda,"1) Tüyap Tüm Fuarcılık Yapım Anonim Şirketi
2) Teknik Fuarcılık A.Ş.",https://www.hightex.com.tr,
Itm 2026 Uluslararası  Tekstil Makineleri Fuarı,2026-06-09,2026-06-13,İstanbul,Tekstil & Moda,"1) Tüyap Tüm Fuarcılık Yapım Anonim Şirketi
2) Teknik Fuarcılık A.Ş.",https://www.itmexhibition.com,
Wın Eurasia 2026,2026-06-10,2026-06-13,İstanbul,Endüstri & Otomasyon,Hannover Faırs Turkey Fuarcılık Anonim Şirketi,https://www.win-eurasia.com,
"Paper Eurasıa - Kağıt, Oluklu Mukavva, Hijyenik Kağıt, Matbaa, Kağıt Ambalaj Ürünleri Ve Makineleri Fuarı",2026-06-10,2026-06-12,İstanbul,Bilişim & Teknoloji,Primis Expo Uluslararası Fuarcılık Ve Ticaret Anonim Şirketi,https://www.papereurasia.com,
Worldef E-Ticaret Hizmetleri Fuarı,2026-06-11,2026-06-13,İstanbul,Bilişim & Teknoloji,Worldef Global Organizasyon Anonim Şirketi,https://www.worldef.net,
